condition,label_space,rank,true_id,pred_id,count
A0,node,1,20,19,38
A0,node,2,24,12,33
A0,node,3,16,17,22
A0,node,4,24,25,20
A0,node,5,34,24,16
A0,node,6,7,29,14
A0,node,7,18,23,14
A0,node,8,6,30,13
A0,node,9,8,28,13
A0,node,10,1,35,12
A0,node,11,24,34,12
A0,node,12,12,25,11
A0,tier3,1,1,13,48
A0,tier3,2,14,18,33
A0,tier3,3,13,1,29
A0,tier3,4,14,10,20
A0,tier3,5,17,14,16
A0,tier3,6,29,24,14
A0,tier3,7,16,3,14
A0,tier3,8,1,16,13
A0,tier3,9,25,20,13
A0,tier3,10,27,22,13
A0,tier3,11,30,4,12
A0,tier3,12,14,17,12
